11/1/2021 12:03:51	New York,Miami,Orlando,Las Vegas,Washington D.C.,Chicago,Cancun	Cold	0 - 21
11/1/2021 13:08:41	New York,Los Angeles,Orlando,San Francisco,Las Vegas,Honolulu,Cancun,Vancouver,Toronto,Paris	No Preference	22 - 45
11/1/2021 12:23:20	New York,Los Angeles,Orlando,Honolulu	Warm	0 - 21
11/1/2021 12:23:22	Miami,Los Angeles,Orlando,Las Vegas,Washington D.C.,Montreal,Paris,Rome	No Preference	0 - 21
11/1/2021 12:24:49	Miami,Los Angeles,Orlando,Sydney	No Preference	0 - 21
11/1/2021 12:25:04	New York,Los Angeles,San Francisco,Las Vegas,Boston,Tokyo	Cold	0 - 21
11/1/2021 12:28:46	New York,Los Angeles,San Francisco,Las Vegas,Honolulu,Chicago,Cancun,Vancouver	Cold	22 - 45
11/1/2021 12:31:49	New York,Los Angeles,Orlando,Las Vegas,Washington D.C.,Boston,Chicago,Cancun,Dubai	Warm	22 - 45
11/1/2021 12:32:28	New York,Los Angeles,Las Vegas,Honolulu,Washington D.C.,Boston,Chicago,Mexico City,Cancun,Toronto,London,Dubai,New Delhi	Warm	22 - 45
11/1/2021 12:33:12	Los Angeles,Orlando,Honolulu,Boston,Mexico City,Cancun	Warm	0 - 21
11/1/2021 12:34:17	New York,Miami,Los Angeles,Orlando,San Francisco,Washington D.C.,Cancun,Singapore,Bangkok,Dubai	Warm	22 - 45
11/1/2021 12:35:13	New York,Miami,Los Angeles,Orlando,Las Vegas,Honolulu,Washington D.C.,Boston,Chicago,Cancun,Montreal,Vancouver,Toronto,Nassau,San Juan,London	Warm	22 - 45
11/1/2021 12:38:15	Los Angeles,San Francisco,Las Vegas,Washington D.C.,Boston,Vancouver,Toronto,Venice,Rome,Hong Kong,Beijing,Tokyo,Shanghai	Warm	0 - 21
11/1/2021 12:41:44	New York,Los Angeles,Orlando,San Francisco,Las Vegas,Honolulu,Washington D.C.,Boston,Chicago,Cancun,Paris,Amsterdam,Athens,Berlin,Venice,Rome,Hong Kong,Beijing,Tokyo,Sydney	No Preference	22 - 45
11/1/2021 12:44:56	Orlando,Honolulu	No Preference	22 - 45
11/1/2021 12:48:14	New York,Los Angeles,San Francisco,Las Vegas,Chicago,London,Paris,Amsterdam,Barcelona,Berlin	Warm	22 - 45
11/1/2021 12:56:54	San Francisco,Las Vegas,Washington D.C.,Chicago,Cancun,Vancouver,Toronto,London,Paris,Barcelona,Venice,Hong Kong	Cold	22 - 45
11/1/2021 13:06:02	New York,Los Angeles,San Francisco,Las Vegas,Chicago,London,Bangkok,Dubai,New Delhi	No Preference	0 - 21
11/1/2021 13:09:02	San Francisco,Washington D.C.,Hong Kong	Warm	0 - 21
11/1/2021 13:10:27	New York,Miami,Orlando,San Francisco,Washington D.C.,Boston,Chicago,Cancun,Toronto,London,Paris,Amsterdam,Barcelona,Athens,Madrid	Warm	0 - 21
11/1/2021 13:12:58	New York,Washington D.C.	Cold	0 - 21
11/1/2021 13:13:24	New York,Los Angeles,Orlando,San Francisco,Las Vegas,Honolulu,Washington D.C.,Boston,Chicago,Cancun,Vancouver,London,Paris,Beijing,Shanghai	No Preference	0 - 21
11/1/2021 13:13:28	New York,Miami,Los Angeles,Orlando,Las Vegas,Washington D.C.,London,Paris,Amsterdam,Barcelona,Madrid,Venice,Rome,Singapore,Dubai	Cold	22 - 45
11/1/2021 13:15:41	New York,Orlando,San Francisco,Las Vegas,Honolulu,Cancun,Toronto,Nassau,San Juan,Dubai,New Delhi	Warm	0 - 21
11/1/2021 13:26:10	New York,Miami,Los Angeles,Orlando,San Francisco,Las Vegas,Washington D.C.,Boston,Chicago,Cancun,Montreal,Toronto,London,Paris,Amsterdam,Barcelona,Athens,Berlin,Madrid,Venice,Rome,Hong Kong,Bangkok,Beijing,Tokyo,Seoul,Sydney	No Preference	22 - 45
11/1/2021 13:41:53	New York,Los Angeles,San Francisco,Las Vegas,Washington D.C.,Chicago,Toronto,Beijing,Tokyo,Seoul	Cold	0 - 21
11/1/2021 14:05:28	Los Angeles,San Francisco,Las Vegas,Athens,Hong Kong,Singapore,Dubai,New Delhi	Cold	0 - 21